TAG,TEXT,LINK
<p>,"Nominations are invited for Distinguished Alumnus Award and Young Alumnus Award 2020. The nomination process closes on 30th September 2020.","https://pec.ac.in"
<p>,"PEC welcomed Mr. Bikram Singh Garewal, the university’s oldest alum at Homecoming 2020: Global Alumni Meet. After graduating from PEC in 1943, Mr.Bikram has gone on to achieve many great feats in life.","https://pec.ac.in"
<p>,"A MoU was signed between PEC and PEDA for Research and Development Projects on Energy Conservation & Energy Efficiency under Bureau of Energy Efficiency, Ministry of Power, Govt. of India.","https://pec.ac.in"
<p>,"PEC has completed 98 wonderful years since it’s foundation in 1921. A celebratory event was organized to mark the foundation of the college. The Chief Guest for the event was Director, PEC, Prof. Dheeraj Sanghi.","https://pec.ac.in"
<p>,"","https://pec.ac.in"
<p>,"","https://pec.ac.in"
<p>,"","https://pec.ac.in"
<p>,"","https://pec.ac.in"
<p>,"","https://pec.ac.in"
<p>,"","https://pec.ac.in"
<p>,"One week STC on Micro Manufacturing from 4th to 8th January, 2021","https://pec.ac.in"
<p>,"Chandigarh Administration has desired Shivalik Hostel to be used as a Quarantine Centre for COVID-19","https://pec.ac.in"
<p>,"Manual to Access pec.edu.in Email ID","https://pec.ac.in"
<p>,"As a precautionary measure against the spread of Corona Virus, teaching shall remain suspended in the institute indefinitely.","https://pec.ac.in"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in"
<p>,"Quick Links","https://pec.ac.in/institute/email-services"
<p>,"","https://pec.ac.in/institute/email-services"
<p>,"Email Services are provided to Faculty Members and Students of the institute to quickly and easily send electronic files such as text documents, photos and data sheets through an email.","https://pec.ac.in/institute/email-services"
<p>,"Support: For queries email to : webmaster@pec.edu.in.","https://pec.ac.in/institute/email-services"
<p>,"Steps to Access pec.edu.in Email: Click here to Download Manual","https://pec.ac.in/institute/email-services"
<p>,"New Email Server (mail.pec.edu.in)","https://pec.ac.in/institute/email-services"
<p>,"Old Email Server (mail.pec.ac.in)","https://pec.ac.in/institute/email-services"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in/institute/email-services"
<p>,"Quick Links","https://pec.ac.in/jobs"
<p>,"","https://pec.ac.in/jobs"
<p>,"Archive of Previous job Openings","https://pec.ac.in/jobs"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in/jobs"
<p>,"Quick Links","https://pec.ac.in/tenders"
<p>,"","https://pec.ac.in/tenders"
<p>,"E-Tenders are invited for Purchase of Microsoft Campus Agreement by Punjab Engineering College (Deemed to be University) Chandigarh Sector 12, Chandigarh 160012","https://pec.ac.in/tenders"
<p>,"Archive of Previous Tenders","https://pec.ac.in/tenders"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in/tenders"
<p>,"Quick Links","https://pec.ac.in/office-orders"
<p>,"","https://pec.ac.in/office-orders"
<p>,"All Departments/ Centres/ Deans/ Sections will function with 100% staff w.e.f 01.09.2020","https://pec.ac.in/office-orders"
<p>,"Constitution of a committee for coordinating activities related to COVID 19","https://pec.ac.in/office-orders"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in/office-orders"
<p>,"Quick Links","https://pec.ac.in/nirf-data-20"
<p>,"","https://pec.ac.in/nirf-data-20"
<p>,"Copyright © 2020 Punjab Engineering College (Deemed to be University), Sector 12, Chandigarh, 160012","https://pec.ac.in/nirf-data-20"
<p>,"Quick Links","https://pec.ac.in/node/549"
<p>,"","https://pec.ac.in/node/549"
